# iteration objective gradient_norm
417 2.750634990480180932e+03 1.806223261240225838e+03
418 2.746532606987596864e+03 1.801819945170715300e+03
419 2.742450511941028253e+03 1.797113428253316670e+03
420 2.738389778553473207e+03 1.792483901232203380e+03
421 2.734349664324822697e+03 1.788017614023495753e+03
422 2.730329780258030041e+03 1.783499017155356114e+03
423 2.726329964858517997e+03 1.779159551336278128e+03
424 2.722349573004938520e+03 1.774855261323333252e+03
425 2.718388250328571303e+03 1.770743464925224998e+03
426 2.714445130641656306e+03 1.766715525139518377e+03
427 2.710519865686755111e+03 1.762789347170780275e+03
428 2.706611919515694353e+03 1.758923185590893809e+03
429 2.702721190731360821e+03 1.754997213160743740e+03
430 2.698847642579040894e+03 1.751247576853572809e+03
431 2.694990520643665604e+03 1.747541146107771283e+03
432 2.691150053531767753e+03 1.743547976103890278e+03
433 2.687327254836552129e+03 1.739379553425622134e+03
434 2.683522919032167010e+03 1.735168717120967585e+03
435 2.679736812818244289e+03 1.731069759277520234e+03
436 2.675968510767467706e+03 1.727035659107823676e+03
437 2.672217780003446933e+03 1.722966783105466902e+03
438 2.668484782061323131e+03 1.718812036330196406e+03
439 2.664769790554882093e+03 1.714721202122330624e+03
440 2.661072308887919462e+03 1.710744782811177629e+03
441 2.657391948636185134e+03 1.706784586696182942e+03
442 2.653728596808416114e+03 1.702860926566613898e+03
443 2.650081926707984621e+03 1.699061758942511688e+03
444 2.646451502971473019e+03 1.695277884892132306e+03
445 2.642837137442320000e+03 1.691620492564387405e+03
446 2.639238156665566294e+03 1.688143924245015342e+03
447 2.635653896870149765e+03 1.684714013911114989e+03
448 2.632084049577618316e+03 1.681440163177340310e+03
449 2.628528109268632306e+03 1.678152648679097183e+03
450 2.624985838219921334e+03 1.675043986692447106e+03
451 2.621456669941488144e+03 1.671899212249000584e+03
452 2.617940757859366386e+03 1.668803621377515810e+03
453 2.614437715023618239e+03 1.665825824418696357e+03
454 2.610947109522116989e+03 1.662920615099590577e+03
455 2.607468609148525957e+03 1.660043962199107227e+03
456 2.604002294824440014e+03 1.657039520185197944e+03
457 2.600548482198722468e+03 1.654052825921946123e+03
458 2.597107180998091280e+03 1.651015359066493602e+03
459 2.593678472458106626e+03 1.648027914651779611e+03
460 2.590262127834659623e+03 1.645066794468853914e+03
461 2.586858043104055014e+03 1.642116615559963066e+03
462 2.583466129677679419e+03 1.639234249855922371e+03
463 2.580085950350538951e+03 1.636508900207929173e+03
464 2.576716895358628335e+03 1.633860435771167431e+03
465 2.573358823766040587e+03 1.631072321073577996e+03
466 2.570012358785047581e+03 1.628196508524713636e+03
467 2.566677678123783153e+03 1.625331489002713397e+03
468 2.563354793363938370e+03 1.622386448481119714e+03
469 2.560043972493046113e+03 1.619430453193961057e+03
470 2.556745199745895206e+03 1.616485284625066470e+03
471 2.553458467394953914e+03 1.613486266013168461e+03
472 2.550183913849440614e+03 1.610512139149118411e+03
473 2.546921397890125263e+03 1.607572423392547307e+03
474 2.543670770770185754e+03 1.604622581532749109e+03
475 2.540432087325511930e+03 1.601666709983627470e+03
476 2.537205280824727652e+03 1.598768161552808351e+03
477 2.533990083620971745e+03 1.595947550915662760e+03
478 2.530786194357058775e+03 1.593136506988870224e+03
479 2.527593654601462731e+03 1.590227189367632036e+03
480 2.524412804783747561e+03 1.587322030001145322e+03
481 2.521243541197019113e+03 1.584442574139277440e+03
482 2.518085717223622851e+03 1.581612694845060105e+03
483 2.514939158764535023e+03 1.578792308317408015e+03
484 2.511803827673038086e+03 1.575921627793920379e+03
485 2.508679976527228064e+03 1.573007161160991018e+03
486 2.505567663336474652e+03 1.570103832822747563e+03
487 2.502466955478038926e+03 1.567043930361940056e+03
488 2.499378572327487745e+03 1.563772161216948007e+03
489 2.496302966389131143e+03 1.560611879820965441e+03
490 2.493239771414553161e+03 1.557465794210885633e+03
491 2.490188906731046700e+03 1.554333841285629433e+03
492 2.487150292249129507e+03 1.551215958179704558e+03
493 2.484123828262296229e+03 1.548140544113821306e+03
494 2.481109349916867359e+03 1.545066338454669449e+03
495 2.478106869868502145e+03 1.541930153695968556e+03
496 2.475116631898006290e+03 1.538771853078513459e+03
497 2.472138571107135249e+03 1.535694250557007308e+03
498 2.469172253694005576e+03 1.532773067665786812e+03
499 2.466217131433790655e+03 1.529949023803201271e+03
500 2.463272852190853428e+03 1.527142265647996965e+03
501 2.460339348571848859e+03 1.524401885314131732e+03
502 2.457416229608387312e+03 1.521767985243157227e+03
503 2.454503197880630523e+03 1.519148034840671244e+03
504 2.451600160145136215e+03 1.516545840351463539e+03
505 2.448707088582392771e+03 1.513929492086362416e+03
506 2.445823985537228964e+03 1.511323049645716310e+03
507 2.442950777704695611e+03 1.508766270250209118e+03
508 2.440087278311536920e+03 1.506169851011186893e+03
509 2.437233687451335300e+03 1.503541867791308732e+03
510 2.434390040254366795e+03 1.500920541678970494e+03
511 2.431556467091555078e+03 1.498156967181594609e+03
512 2.428733166074162000e+03 1.495542919766888872e+03
513 2.425919685513051718e+03 1.492949693734877428e+03
514 2.423115948570459295e+03 1.490354680697138292e+03
515 2.420322173314038537e+03 1.487535976664428063e+03
516 2.417538965514280790e+03 1.484712549919033108e+03
517 2.414766303657709159e+03 1.481884870597537201e+03
518 2.412004270772907603e+03 1.478998477515714512e+03
519 2.409253006757482581e+03 1.476086811722745551e+03
520 2.406512534147660062e+03 1.473230270716390123e+03
521 2.403782639384217873e+03 1.470402997657674632e+03
522 2.401063256599685246e+03 1.467519196422079176e+03
523 2.398354533477947371e+03 1.464643765702897326e+03
524 2.395656406008207796e+03 1.461783503744464042e+03
525 2.392968774339866286e+03 1.458974590504589514e+03
526 2.390291424018844282e+03 1.456217092254762065e+03
527 2.387624141817492728e+03 1.453476460327791756e+03
528 2.384966924677650240e+03 1.450721907494994184e+03
529 2.382319762103493304e+03 1.447980815680040223e+03
530 2.379682586048259509e+03 1.445253111038217867e+03
531 2.377055327458668671e+03 1.442546270566493831e+03
532 2.374437863037572242e+03 1.439892995819004682e+03
533 2.371829984993924882e+03 1.437268619321400820e+03
534 2.369231598084778398e+03 1.434656250021210099e+03
